,name,ownerAddress,breedCount,pegaTotalRaces,speed,strength,wind,fire,water,lightning,gender,bloodLine,breedType,winRate,win,lose,avg_position,firt_places,second_places,third_places,total_rewards
0,Weather,0x930fDDe10c8cDA758232873A8428EF380810843A,3,269,2.88,2.92,6.03,8.87,5.64,7.53,Male,Hoz,Pacer,0.17,47,222,7.81,3,5,6,691
0,ViceGandaEhNOH,0x3Fc75B4D1Fd7248D47784d6CE18a0bba2a60Dbec,3,268,2.4,8.92,5.92,5.18,2.63,5.27,Female,Klin,Legendary,0.17,46,222,8.01,5,3,3,735
0,LVL99 GUILD #94,0x09386f54Bd4514d20a36c54c4A0652FEE2946b67,3,281,7.37,6.19,1.67,0.44,7.1,7.67,Female,Zan,Pacer,0.2,57,224,7.87,10,6,4,1418
0,JEWEL,0xb7dd9C6370e70325bd9177046ADC6B083aA666e4,3,286,0.9,2.96,4.07,3.17,1.18,1.35,Male,Campona,Pacer,0.17,49,237,8.19,3,5,7,717
0,EthereumNameService,0xB24Bf819327dc8Ffbe5126Eef00F4dA6542b4371,3,274,1.85,7.68,4.35,7.19,6.27,0.24,Female,Campona,Rare,0.25,69,205,7.27,9,7,10,1513
0,BolangZan1,0xfd9aF7Dd7086B8008De51d3684B1B5160A6783a7,4,267,7.52,1.74,5.96,5.56,6.83,5.78,Female,Zan,Founding,0.38,102,165,4.2,19,19,15,3221
0,Orion Money,0x6b52595B5CF6061Bc9a346c77831e223c8Db8ab7,2,276,5.11,3.22,4.84,7.42,8.4,0.12,Female,Zan,Legendary,0.38,105,171,6.95,16,12,11,2494
0,NXL.axsu #4,0x42c3c79907A02e746AeC676D8CB6326Ed3b1Bd9c,3,268,8.5,5.11,8.47,5.18,7.75,1.99,Male,Hoz,Pacer,0.31,84,184,6.81,15,8,10,2187
0,Tikboy,0x261CF98D558fB487638B629594217486AfA2AF5b,4,284,1.17,2.52,2.76,0.36,5.17,4.57,Female,Zan,Founding,0.18,52,232,7.57,5,6,5,919
0,Gordon Hackett,0x03ad85E581D21e60E8e3Bf8DA9736D9aC400d93A,2,77,2.72,8.57,1.19,5.53,3.73,1.81,Female,Hoz,Pacer,0.05,4,73,8.74025974025974,1,2,1,219
